"id","city_id:id","name","code"
res_city_district_10101,l10n_ve_pad.res_city_101,Altagracia,10101
res_city_district_10102,l10n_ve_pad.res_city_101,Candelaria,10102
res_city_district_10103,l10n_ve_pad.res_city_101,Catedral,10103
res_city_district_10104,l10n_ve_pad.res_city_101,La Pastora,10104
res_city_district_10105,l10n_ve_pad.res_city_101,San Agustín,10105
res_city_district_10106,l10n_ve_pad.res_city_101,San José,10106
res_city_district_10107,l10n_ve_pad.res_city_101,San Juan,10107
res_city_district_10108,l10n_ve_pad.res_city_101,Santa Rosalía,10108
res_city_district_10109,l10n_ve_pad.res_city_101,Santa Teresa,10109
res_city_district_10110,l10n_ve_pad.res_city_101,Sucre,10110
res_city_district_10111,l10n_ve_pad.res_city_101,23 De Enero,10111
res_city_district_10112,l10n_ve_pad.res_city_101,Antímano,10112
res_city_district_10113,l10n_ve_pad.res_city_101,El Recreo,10113
res_city_district_10114,l10n_ve_pad.res_city_101,El Valle,10114
res_city_district_10115,l10n_ve_pad.res_city_101,La Vega,10115
res_city_district_10116,l10n_ve_pad.res_city_101,Macarao,10116
res_city_district_10117,l10n_ve_pad.res_city_101,Caricuao,10117
res_city_district_10118,l10n_ve_pad.res_city_101,El Junquito,10118
res_city_district_10119,l10n_ve_pad.res_city_101,Coche,10119
res_city_district_10120,l10n_ve_pad.res_city_101,San Pedro,10120
res_city_district_10121,l10n_ve_pad.res_city_101,San Bernardino,10121
res_city_district_10122,l10n_ve_pad.res_city_101,El Paraíso,10122
res_city_district_20101,l10n_ve_pad.res_city_201,Anaco,20101
res_city_district_20102,l10n_ve_pad.res_city_201,San Joaquín,20102
res_city_district_20201,l10n_ve_pad.res_city_202,Aragua,20201
res_city_district_20202,l10n_ve_pad.res_city_202,Cachipo,20202
res_city_district_20301,l10n_ve_pad.res_city_203,El Carmen,20301
res_city_district_20302,l10n_ve_pad.res_city_203,San Cristóbal,20302
res_city_district_20303,l10n_ve_pad.res_city_203,Bergantín,20303
res_city_district_20304,l10n_ve_pad.res_city_203,Caigua,20304
res_city_district_20305,l10n_ve_pad.res_city_203,El Pilar,20305
res_city_district_20306,l10n_ve_pad.res_city_203,Naricual,20306
res_city_district_20401,l10n_ve_pad.res_city_204,Clarines,20401
res_city_district_20402,l10n_ve_pad.res_city_204,Guanape,20402
res_city_district_20403,l10n_ve_pad.res_city_204,Sabana De Uchire,20403
res_city_district_20501,l10n_ve_pad.res_city_205,Onoto,20501
res_city_district_20502,l10n_ve_pad.res_city_205,San Pablo,20502
res_city_district_20601,l10n_ve_pad.res_city_206,Cantaura,20601
res_city_district_20602,l10n_ve_pad.res_city_206,Libertador,20602
res_city_district_20603,l10n_ve_pad.res_city_206,Santa Rosa,20603
res_city_district_20604,l10n_ve_pad.res_city_206,Urica,20604
res_city_district_20701,l10n_ve_pad.res_city_207,Soledad,20701
res_city_district_20702,l10n_ve_pad.res_city_207,Mamo,20702
res_city_district_20801,l10n_ve_pad.res_city_208,San Mateo,20801
res_city_district_20802,l10n_ve_pad.res_city_208,El Carito,20802
res_city_district_20803,l10n_ve_pad.res_city_208,Santa Inés,20803
res_city_district_20804,l10n_ve_pad.res_city_208,La Romereña,20804
res_city_district_20901,l10n_ve_pad.res_city_209,Pariaguán,20901
res_city_district_20902,l10n_ve_pad.res_city_209,Atapirire,20902
res_city_district_20903,l10n_ve_pad.res_city_209,Boca Del Pao,20903
res_city_district_20904,l10n_ve_pad.res_city_209,El Pao,20904
res_city_district_21001,l10n_ve_pad.res_city_210,Mapire,21001
res_city_district_21002,l10n_ve_pad.res_city_210,Piar,21002
res_city_district_21003,l10n_ve_pad.res_city_210,San Diego De Cabrutica,21003
res_city_district_21004,l10n_ve_pad.res_city_210,Santa Clara,21004
res_city_district_21005,l10n_ve_pad.res_city_210,Uverito,21005
res_city_district_21006,l10n_ve_pad.res_city_210,Zuata,21006
res_city_district_21101,l10n_ve_pad.res_city_211,Puerto Píritu,21101
res_city_district_21102,l10n_ve_pad.res_city_211,San Miguel,21102
res_city_district_21103,l10n_ve_pad.res_city_211,Sucre,21103
res_city_district_21201,l10n_ve_pad.res_city_212,Edmundo Barrios,21201
res_city_district_21202,l10n_ve_pad.res_city_212,Miguel Otero Silva,21202
res_city_district_21301,l10n_ve_pad.res_city_213,Pozuelos,21301
res_city_district_21302,l10n_ve_pad.res_city_213,Puerto La Cruz,21302
res_city_district_21401,l10n_ve_pad.res_city_214,San José De Guanipa,21401
res_city_district_21501,l10n_ve_pad.res_city_215,Guanta,21501
res_city_district_21502,l10n_ve_pad.res_city_215,Chorrerón,21502
res_city_district_21601,l10n_ve_pad.res_city_216,Píritu,21601
res_city_district_21602,l10n_ve_pad.res_city_216,San Francisco,21602
res_city_district_21701,l10n_ve_pad.res_city_217,Lecherías,21701
res_city_district_21702,l10n_ve_pad.res_city_217,El Morro,21702
res_city_district_21801,l10n_ve_pad.res_city_218,Valle De Guanape,21801
res_city_district_21802,l10n_ve_pad.res_city_218,Santa Bárbara,21802
res_city_district_21901,l10n_ve_pad.res_city_219,Santa  Ana,21901
res_city_district_21902,l10n_ve_pad.res_city_219,Pueblo Nuevo,21902
res_city_district_22001,l10n_ve_pad.res_city_220,El Chaparro,22001
res_city_district_22002,l10n_ve_pad.res_city_220,Tomás Alfaro,22002
res_city_district_22003,l10n_ve_pad.res_city_220,Calatrava,22003
res_city_district_22101,l10n_ve_pad.res_city_221,Boca De Uchire,22101
res_city_district_22102,l10n_ve_pad.res_city_221,Boca De Chávez,22102
res_city_district_30101,l10n_ve_pad.res_city_301,Fernándo Girón Tovar,30101
res_city_district_30102,l10n_ve_pad.res_city_301,Luis Alberto Gómez,30102
res_city_district_30103,l10n_ve_pad.res_city_301,Parhueña,30103
res_city_district_30104,l10n_ve_pad.res_city_301,Platanillal,30104
res_city_district_30201,l10n_ve_pad.res_city_302,Atabapo,30201
res_city_district_30202,l10n_ve_pad.res_city_302,Ucata Laja Lisa,30202
res_city_district_30203,l10n_ve_pad.res_city_302,Yapacana Macuruco,30203
res_city_district_30204,l10n_ve_pad.res_city_302,Caname Guarinuma,30204
